enzyme	logFC	logCPM	PValue	FDR	association
3.5.5.1	-1.088960445	7.16536864	0.03977549	0.078333363	Not associated
3.5.5.7	-0.566242795	3.91382171	0.565298121	0.669927861	Not associated
3.5.99.2	-0.785471221	4.568237468	0.475154866	0.580410691	Not associated
3.5.99.3	0.964400155	8.19989348	0.010871251	0.02745245	Not associated
3.5.99.4	0.050654115	6.392680645	0.916713599	0.948300209	Not associated
3.5.99.6	0.80622839	6.961499696	0.135960167	0.212349348	Not associated
3.5.99.7	0.56299593	8.438054412	0.123989096	0.197767732	Not associated
3.6.-.-	0.698757278	1.474601634	0.563711968	0.669810791	Not associated
3.6.1.-	-1.84154489	8.874228521	7.39E-08	2.76E-06	root
3.6.1.1	0.573002931	11.7736363	0.000767294	0.003599356	Not associated
3.6.1.11	-0.964016213	10.11875722	2.77E-05	0.000279703	Not associated
3.6.1.13	-0.957267694	8.000582822	0.032966912	0.06717692	Not associated
3.6.1.22	-0.537987664	8.9072022	0.077578749	0.134542863	Not associated
3.6.1.23	0.352986874	8.498785524	0.290796054	0.391690397	Not associated
3.6.1.27	-0.101389743	9.414420928	0.686941111	0.77145257	Not associated
3.6.1.3	2.29946133	7.538426065	4.04E-05	0.000380903	soil
3.6.1.31	-0.140372546	8.044745017	0.739612684	0.815687131	Not associated
3.6.1.40	-1.859238411	6.502949591	0.057984896	0.106292531	Not associated
3.6.1.41	-1.715698857	7.702379803	0.000267652	0.001628819	root
3.6.1.45	-8.874552303	3.750893411	5.54E-06	7.56E-05	root
3.6.1.54	-2.103214764	7.01731348	0.002518666	0.00881533	root
3.6.1.66	0.160083553	8.961591974	0.588408119	0.688855605	Not associated
3.6.1.7	0.007932255	5.540842694	0.97253622	0.990872122	Not associated
3.6.3.-	-0.60494287	12.2424387	0.000159572	0.001094321	Not associated
3.6.3.10	-6.271725787	1.539283029	0.007863437	0.020995066	Not associated
3.6.3.12	-1.555136206	10.07363741	0.000111585	0.000842183	root
3.6.3.14	0.275396997	12.64220658	0.071666132	0.126343834	Not associated
3.6.3.17	-0.719802279	11.75054143	4.18E-05	0.000389771	Not associated
3.6.3.20	-0.881679557	9.11442987	0.006311002	0.017725912	Not associated
3.6.3.21	-1.198960712	6.771114107	0.060585855	0.109573614	Not associated
3.6.3.25	-0.621768938	9.378724175	0.013386224	0.032294264	Not associated
3.6.3.27	0.3611083	10.18799975	0.054354852	0.10114794	Not associated
3.6.3.28	-1.090102518	8.533988157	0.007645194	0.020493367	Not associated
3.6.3.29	-0.7325003	8.375551201	0.061129205	0.110114075	Not associated
3.6.3.30	-0.805728811	9.808575277	0.001033679	0.004475961	Not associated
3.6.3.31	0.504470738	9.209277583	0.052262659	0.097709628	Not associated
3.6.3.32	-0.742169562	9.841089418	0.004237081	0.013405847	Not associated
3.6.3.34	-0.109913412	10.32212573	0.606325523	0.70373349	Not associated
3.6.3.40	3.331231294	1.501183203	0.02424867	0.052248729	Not associated
3.6.3.41	-1.654936789	7.751256455	0.000854256	0.003872819	root
3.6.3.44	0.127564477	3.77999954	0.874048687	0.917513423	Not associated
3.6.3.55	-1.781094268	3.50194496	0.056417335	0.103983383	Not associated
3.6.3.6	3.832426372	-0.035725603	0.22044662	0.31251142	Not associated
3.6.3.9	4.223047351	3.335817862	0.000157585	0.00108621	soil
